word,word_count,rank
nearly,40,1011.0
governors,40,1011.0
funded,40,1011.0
adults,40,1011.0
page,40,1011.0
cultural,40,1011.0
served,40,1011.0
assistance,40,1011.0
like,40,1011.0
extended,40,1011.0
gavel,40,1011.0
included,40,1011.0
complaint,40,1011.0
version,40,1011.0
developed,40,1011.0
secretary,40,1011.0
responsibilities,39,1042.0
agency,39,1042.0
purposes,39,1042.0
collaborative,39,1042.0
challenge,39,1042.0
donations,39,1042.0
reflect,39,1042.0
magnolia,39,1042.0
already,39,1042.0
furlough,39,1042.0
nf,39,1042.0
recognized,39,1042.0
placed,39,1042.0
steps,39,1042.0
l,39,1042.0
fair,39,1042.0
workforce,39,1042.0
huntington,39,1042.0
annually,39,1042.0
urban,39,1042.0
obtain,38,1062.0
crippens,38,1062.0
requirement,38,1062.0
expectations,38,1062.0
expected,38,1062.0
determined,38,1062.0
voting,38,1062.0
californias,38,1062.0
large,38,1062.0
doe,38,1062.0
pay,38,1062.0
workbased,38,1062.0
breakfast,38,1062.0
expand,38,1062.0
g,38,1062.0
global,38,1062.0
purchase,38,1062.0
total,38,1062.0
submit,38,1062.0
directors,38,1062.0
ring,38,1062.0
fees,38,1062.0
coordinator,38,1062.0
aguilar,38,1062.0
sb,38,1062.0
institute,38,1062.0
tools,38,1062.0
written,38,1062.0
grants,38,1062.0
facility,38,1062.0
serving,38,1062.0
assumed,38,1062.0
size,37,1094.0
laws,37,1094.0
joint,37,1094.0
swpbis,37,1094.0
rigorous,37,1094.0
promoting,37,1094.0
dot,37,1094.0
text,37,1094.0
committees,37,1094.0
austin,37,1094.0
effectiveness,37,1094.0
leading,36,1105.0
certificates,36,1105.0
lack,36,1105.0
hon,36,1105.0
discussions,36,1105.0
selected,36,1105.0
csea,36,1105.0
point,36,1105.0
serves,36,1105.0
campuses,36,1105.0
build,36,1105.0
negotiators,36,1105.0
intent,36,1105.0
establishment,36,1105.0
protection,36,1105.0
faculty,36,1105.0
focused,36,1105.0
added,36,1105.0
get,36,1105.0
salary,36,1105.0
discuss,36,1105.0
notices,36,1105.0
sources,36,1105.0
lost,35,1128.0
vendor,35,1128.0
gap,35,1128.0
requesting,35,1128.0
highquality,35,1128.0
leader,35,1128.0
prepare,35,1128.0
survey,35,1128.0
equal,35,1128.0
balanced,35,1128.0
revenues,35,1128.0
vivian,35,1128.0
priorities,35,1128.0
hill,35,1128.0
prepared,35,1128.0
contribution,35,1128.0
hr,35,1128.0
distribution,35,1128.0
raised,35,1128.0
gender,35,1128.0
monitoring,35,1128.0
complex,35,1128.0
civil,35,1128.0
driving,35,1128.0
tobacco,35,1128.0
romero,35,1128.0
living,35,1128.0
dedication,35,1128.0
aligned,34,1156.0
zazueta,34,1156.0
emergency,34,1156.0
juan,34,1156.0
williams,34,1156.0
structure,34,1156.0
briefly,34,1156.0
major,34,1156.0
sohn,34,1156.0
latinos,34,1156.0
minor,34,1156.0
appreciation,34,1156.0
controllers,34,1156.0
good,34,1156.0
de,34,1156.0
top,34,1156.0
mother,34,1156.0
illness,34,1156.0
points,34,1156.0
phase,34,1156.0
legacy,34,1156.0
completed,34,1156.0
poverty,34,1156.0
counselor,34,1156.0
certification,34,1156.0
drive,34,1156.0
air,34,1156.0
left,34,1156.0
barriers,34,1156.0
savings,34,1156.0
anticipated,34,1156.0
h,34,1156.0
recognize,33,1188.0
carwash,33,1188.0
capacity,33,1188.0
active,33,1188.0
units,33,1188.0
kipp,33,1188.0
statewide,33,1188.0
materials,33,1188.0
medical,33,1188.0
private,33,1188.0
nations,33,1188.0
mathematics,33,1188.0
option,33,1188.0
personal,33,1188.0
preparing,33,1188.0
offer,33,1188.0
hs,33,1188.0
loss,33,1188.0
dropout,33,1188.0
inform,33,1188.0
offers,33,1188.0
properties,33,1188.0
advocacy,33,1188.0
media,33,1188.0
johnson,33,1188.0
receiving,33,1188.0
neighborhood,33,1188.0
bid,33,1188.0
upcoming,33,1188.0
engaged,32,1217.0
crescendo,32,1217.0
urges,32,1217.0
much,32,1217.0
empowerment,32,1217.0
inclusive,32,1217.0
ballot,32,1217.0
months,32,1217.0
old,32,1217.0
providers,32,1217.0
dual,32,1217.0
person,32,1217.0
models,32,1217.0
begin,32,1217.0
track,32,1217.0
addressing,32,1217.0
meaningful,32,1217.0
principles,32,1217.0
easements,32,1217.0
communications,32,1217.0
noted,32,1217.0
rd,32,1217.0
faced,32,1217.0
share,32,1217.0
repair,32,1217.0
bids,32,1217.0
feedback,32,1217.0
fremont,32,1217.0
specifically,31,1245.0
east,31,1245.0
fall,31,1245.0
benchmarks,31,1245.0
decree,31,1245.0
pass,31,1245.0
non,31,1245.0
counselors,31,1245.0
luis,31,1245.0
saving,31,1245.0
even,31,1245.0
expansion,31,1245.0
value,31,1245.0
restoration,31,1245.0
preparation,31,1245.0
cause,31,1245.0
hawkins,31,1245.0
wide,31,1245.0
bonds,31,1245.0
revolving,31,1245.0
longterm,31,1245.0
engage,31,1245.0
indistrict,31,1245.0
hard,31,1245.0
ana,31,1245.0
answered,31,1245.0
academies,31,1245.0
reissue,31,1245.0
issuance,31,1245.0
problem,31,1245.0
forward,31,1245.0
todays,31,1245.0
environments,31,1245.0
music,31,1245.0
improved,30,1279.0
graduates,30,1279.0
subsequent,30,1279.0
attention,30,1279.0
live,30,1279.0
exception,30,1279.0
contractors,30,1279.0
go,30,1279.0
investigation,30,1279.0
celebrating,30,1279.0
means,30,1279.0
improvements,30,1279.0
n,30,1279.0
others,30,1279.0
welcomed,30,1279.0
nutrition,30,1279.0
expenditures,30,1279.0
salaries,30,1279.0
milk,30,1279.0
mastery,30,1279.0
teams,30,1279.0
creation,30,1279.0
energy,30,1279.0
vision,30,1279.0
criminal,30,1279.0
operated,30,1279.0
comprised,30,1279.0
del,30,1279.0
percentage,30,1279.0
half,30,1279.0
voted,30,1279.0
reach,30,1279.0
applications,30,1279.0
bring,30,1279.0
filed,30,1279.0
lowincome,30,1279.0
still,30,1279.0
records,30,1279.0
job,29,1317.0
teach,29,1317.0
telephone,29,1317.0
external,29,1317.0
society,29,1317.0
initiatives,29,1317.0
flexibility,29,1317.0
redevelopment,29,1317.0
ratifies,29,1317.0
finding,29,1317.0
suspended,29,1317.0
immediate,29,1317.0
direction,29,1317.0
whole,29,1317.0
replace,29,1317.0
feet,29,1317.0
partner,29,1317.0
retention,29,1317.0
climate,29,1317.0
lives,29,1317.0
political,29,1317.0
inclusion,29,1317.0
remain,29,1317.0
declare,29,1317.0
remove,29,1317.0
supplemental,29,1317.0
asian,29,1317.0
allows,29,1317.0
highly,29,1317.0
execute,29,1317.0
supported,29,1317.0
operation,29,1317.0
restore,29,1317.0
insurance,29,1317.0
fenton,28,1351.0
reporting,28,1351.0
obesity,28,1351.0
assist,28,1351.0
chanda,28,1351.0
north,28,1351.0
timeline,28,1351.0
internet,28,1351.0
field,28,1351.0
experiences,28,1351.0
respect,28,1351.0
sealed,28,1351.0
towards,28,1351.0
declining,28,1351.0
operating,28,1351.0
select,28,1351.0
main,28,1351.0
designed,28,1351.0
gave,28,1351.0
synergy,28,1351.0
coming,28,1351.0
lausds,28,1351.0
williamsvalenzuela,28,1351.0
incorporate,28,1351.0
regulations,28,1351.0
academia,28,1351.0
enrolled,28,1351.0
promotes,28,1351.0
power,28,1351.0
attached,28,1351.0
competence,28,1351.0
conducted,28,1351.0
content,28,1351.0
cut,28,1351.0
reference,28,1351.0
wellness,28,1351.0
gonzalez,28,1351.0
understand,28,1351.0
especially,27,1389.0
values,27,1389.0
return,27,1389.0
sustainable,27,1389.0
consider,27,1389.0
art,27,1389.0
investments,27,1389.0
emotional,27,1389.0
sbe,27,1389.0
boundaries,27,1389.0
thursday,27,1389.0
trust,27,1389.0
planned,27,1389.0
manner,27,1389.0
communicate,27,1389.0
applicants,27,1389.0
celebration,27,1389.0
significantly,27,1389.0
ada,27,1389.0
twoyear,27,1389.0
capital,27,1389.0
ways,27,1389.0
wherein,27,1389.0
involved,27,1389.0
advocates,27,1389.0
votes,27,1389.0
budgeting,27,1389.0
reads,27,1389.0
francisco,27,1389.0
reed,27,1389.0
kindergarten,27,1389.0
walter,26,1420.0
ongoing,26,1420.0
close,26,1420.0
participating,26,1420.0
considered,26,1420.0
worker,26,1420.0
spanish,26,1420.0
restorative,26,1420.0
commencing,26,1420.0
native,26,1420.0
enriched,26,1420.0
delac,26,1420.0
line,26,1420.0
washington,26,1420.0
unique,26,1420.0
amounts,26,1420.0
fennessy,26,1420.0
consultant,26,1420.0
scheduled,26,1420.0
graders,26,1420.0
complete,26,1420.0
adequate,26,1420.0
integrated,26,1420.0
celerity,26,1420.0
reconstitution,26,1420.0
najeeb,26,1420.0
khoury,26,1420.0
samples,26,1420.0
attachment,26,1420.0
sharing,26,1420.0
upgrades,26,1420.0
estimated,26,1420.0
offered,26,1420.0
seeks,26,1420.0
problems,26,1420.0
adjustments,26,1420.0
orientation,26,1420.0
autism,26,1420.0
entire,26,1420.0
reopening,25,1459.0
protecting,25,1459.0
